x,y,age,sex,prior_visit,behavior_type,group_number,group_type,group_leader,initial_energy,ID,role,exit,prompt,table,party,turned back x,turned back y,starting room,ids employees y/n,employee location x1,employee location y1,took,note
138,134,,,TRUE,,,,,100,w80,tipped staff,M,,,,,,empire room,,,,,
162,131,,,TRUE,,,,,100,w85,tipped staff,G2,,,,,,empire room,,,,,
198,114,,,TRUE,,239,4,,100,w99,tipped staff,M,,,,,,empire room,,,,,
174,128,,,FALSE,,239,4,,100,w100,patron,M,,,,,,empire room,,,,,
277,237,,,FALSE,,,,,100,?,patron,K,,,,,,cabaret room,,,,,
176,426,,male,FALSE,,38,4,,100,??6,patron,K,,,,,,Crystal Room 1,,,,,
183,130,,,TRUE,,,,,100,r51,tipped staff,G2,,,,162,103.5,empire room,,,,,
260,253,,,FALSE,,,,,100,?,patron,K,,,,,,cabaret room,,,,,
113,260,,,FALSE,,,,,100,p54,patron,G1,,,,,,Garden 4,,,,,
73,47,,,FALSE,,229,4,,100,t22,patron,M,,,,,,main dining,,,,,
90,53,,,FALSE,,229,4,,100,t23,patron,M,,,,,,main dining,,,,,
91,72,,,FALSE,,24,4,,100,b160,patron,K,,,,,,main dining,,,,,
90,74,,,FALSE,,24,4,,100,b161,patron,K,,,,,,main dining,,,,,
85,72,,,FALSE,,,,,100,d83,patron,,,,,-40,504,main dining,,,,,
72,75,,,FALSE,,93,4,,100,g81,patron,K,,,,104,84,main dining,,,,,
80,63,,,FALSE,,93,4,,100,g82,patron,K,,,,104,84,main dining,,,,,
96,69,,,FALSE,,,,,100,g55,patron,M,,,,,,main dining,,,,,
85,77,,female,FALSE,,92,4,,100,g79,patron,K,,,,,,main dining,,,,,
82,50,,female,FALSE,,92,4,,100,g80,patron,K,,,,,,main dining,,,,,
91,77,,,FALSE,,,,,100,t18,patron,M,,,,,,main dining,,,,,
97,48,,female,FALSE,,,,,100,p30,patron,K,,,,,,main dining,,,,,
210,403,,female,FALSE,,19,4,,100,b136,patron,K,,,,,,Crystal Room 4,,,,,
97,76,,female,FALSE,,19,4,,100,b137,patron,K,,,,,,main dining,,,,,
79,64,,,TRUE,,250,4,,100,w63,tipped staff,K,,,,,,main dining,,,,,
101,51,,,TRUE,,250,4,,100,w64,tipped staff,K,,,,,,main dining,,,,,
83,73,,female,FALSE,,135,4,,100,l44,patron,K,,,,,,main dining,,,,,
78,52,,female,FALSE,,135,4,,100,l45,patron,K,,,,,,main dining,,,,,
98,55,,female,FALSE,,,,,100,f45,patron,K,,,,103.5,96.5,main dining,,,,,
72,47,,,FALSE,,,,,100,r79,patron,K,,,,,,main dining,,,,,
78,63,,,FALSE,,226,4,,100,s247,patron,M,,,,,,main dining,,,,,
87,48,,,FALSE,,226,4,,100,s247-a,patron,M,,,,,,main dining,,,,,
82,70,,,TRUE,,,,,100,c84,non-tipped,M,,,,,,main dining,,,,,
83,69,,,FALSE,,,,,100,p67,patron,M,,,,,,main dining,,,,,
69,72,,,FALSE,,,,,100,s114,patron,M,,,,,,main dining,,,,,
78,52,,,FALSE,,120,4,,100,k42,patron,K,,,,,,main dining,,,,,
86,60,,,FALSE,,120,4,,100,k42-a,patron,K,,,,,,main dining,,,,,
70,63,,,FALSE,,39,4,,100,b98,patron,M,,,,58.5,97.5,main dining,,,,,
90,48,,,FALSE,,39,4,,100,b99,patron,M,,,,58.5,97.5,main dining,,,,,
88,65,,,FALSE,,,,,100,a41,patron,M,,,,,,main dining,,,,,
96,77,,,FALSE,,,,,100,f77,patron,M,,,,,,main dining,,,,,
259,246,,male,FALSE,,42,4,,100,?52,patron,M,,,,237,246.5,cabaret room,,,,,
78,55,,female,FALSE,,4,4,,100,a48,patron,K,,,,,,main dining,,,,,
86,74,,,TRUE,,220,4,,100,s216,tipped staff,M,,,,,,main dining,,,,,
76,72,,,TRUE,,220,4,,100,s217,tipped staff,M,,,,,,main dining,,,,,
92,78,,,FALSE,,74,4,,100,f43,patron,,,,,-40,504,main dining,,,,,
85,65,,,FALSE,,74,4,,100,f43-a,patron,,,,,-40,504,main dining,,,,,
93,56,,male,FALSE,,201,4,,100,r92,patron,K,,,,,,main dining,,,,,
67,59,,male,FALSE,,201,4,,100,r93,patron,K,,,,,,main dining,,,,,
67,48,,,FALSE,,,,,100,c40,patron,K,,,,,,main dining,,,,,
74,47,,,FALSE,,,,,100,h80,patron,,,,,-40,504,main dining,,,,,
80,70,,,FALSE,,,,,100,d64,patron,M,,,,,,main dining,,,,,
100,69,,,FALSE,,,,,100,j25,patron,M,,,,,,main dining,,,,,
91,76,,,FALSE,,115,4,,100,j29,patron,K,,,,,,main dining,,,,,
89,61,,,TRUE,,115,4,,100,j30,non-tipped,K,,,,,,main dining,,,,,
68,51,,,FALSE,,210,4,,100,s156,patron,M,,,,,,main dining,,,,,
74,62,,,FALSE,,210,4,,100,s156-a,patron,M,,,,,,main dining,,,,,
67,64,,male,TRUE,,,,,100,g59,tipped staff,K,,,,,,main dining,,,,,
81,69,,,FALSE,,130,4,,100,l32,patron,G1,,,,,,main dining,,,,,
72,63,,,FALSE,,130,4,,100,l32-a,patron,G1,,,,,,main dining,,,,,
270,312,,,TRUE,,249,4,,100,w61,tipped staff,,,,,-40,504,cabaret room,,,,,
257,321,,,TRUE,,249,4,,100,w62,tipped staff,,,,,-40,504,cabaret room,,,,,
271,214,,,TRUE,,148,4,,100,m104,tipped staff,,,,,-40,504,cabaret room,,,,,
264,311,,,TRUE,,148,4,,100,m105,tipped staff,,,,,-40,504,cabaret room,,,,,
258,286,,,TRUE,,97,4,,100,h108,tipped staff,,,,,-40,504,cabaret room,,,,,
260,197,,,TRUE,,97,4,,100,h109,tipped staff,,,,,-40,504,cabaret room,,,,,
260,195,,,FALSE,,35,4,,100,b87,patron,S,,,,,,cabaret room,,,,,
250,263,,,FALSE,,35,4,,100,b88,patron,S,,,,,,cabaret room,,,,,
260,250,,,FALSE,,,,,100,f44,patron,,,,,-40,504,cabaret room,,,,,
273,219,,,FALSE,,,,,100,h96,patron,,,,,-40,504,cabaret room,,,,,
279,233,,,FALSE,,,,,100,j23,patron,GC,,,,,,cabaret room,,,,,
272,196,,male,TRUE,,,,,100,s1,non-tipped,K,,,,,,cabaret room,,,,,
253,202,,female,TRUE,,,,,100,n2,tipped staff,,told,,,,,cabaret room,,,,"purse, table","garden rooms, was resetting one table but when told got her 4-top and led them out"
275,300,,,FALSE,,,,,100,n1?,patron,C,,,,,,cabaret room,,,,,
260,197,26,female,FALSE,,dayton aaa,2,,100,s256,patron,C,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
270,287,,,FALSE,,,,,100,t? [cut off],patron,C,,,,,,cabaret room,,,,,
282,264,,,FALSE,,,,,100,t29,patron,,,,,-40,504,cabaret room,,,,,
248,299,,,FALSE,,,,,100,? [blank],patron,,,,,,,cabaret room,,,,,
277,247,,,FALSE,,40,4,,100,c45,patron,G2,,,,,,cabaret room,,,,,
279,197,,,FALSE,,40,4,,100,c46,patron,G2,,,,,,cabaret room,,,,,
277,308,,,FALSE,,,,,100,m? [cut off],patron,C,,,,,,cabaret room,,,,,
266,229,,,TRUE,,160,4,,100,m46,tipped staff,,,,,-40,504,cabaret room,,,,,
256,288,,,TRUE,,160,4,,100,m47,tipped staff,,,,,-40,504,cabaret room,,,,,
253,283,,,FALSE,,,,,100,s191,patron,,,,,-40,504,cabaret room,,,,,
272,214,,,TRUE,,,,,100,h161,tipped staff,S,,,,,,cabaret room,,,,,
305,272,,,FALSE,,,,,100,c35?,patron,S,,,,,,on stage,,,,,
274,269,,,TRUE,,221,4,,100,s219,tipped staff,,,,,-40,504,cabaret room,,,,,
